virus_strain,serum_strain,titer
DENV2/CAMBODIA/D2T0601085/2009,DENV2/VIETNAM/BIDV735/2006,7.62205181946
DENV2/GUYANA/08221/2000,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.24792751344
DENV2/GUYANA/08221/2000,DENV1/PERU/IQT6152/2000,3.32192809489
DENV2/GUYANA/08221/2000,DENV2/CAMBODIA/D2T0601085/2009,4.80735492206
DENV2/GUYANA/08221/2000,DENV2/NICARAGUA/BIDV571/2006,6.20945336563
DENV2/GUYANA/08221/2000,DENV2/TONGA/DELTA30/1974,4.84130225398
DENV2/GUYANA/08221/2000,DENV2/VIETNAM/AC20/2003,4.85798099513
DENV2/GUYANA/08221/2000,DENV2/VIETNAM/BIDV735/2006,7.12412131183
DENV2/GUYANA/08221/2000,DENV3/CAMBODIA/AC23/2011,3.70043971814
DENV2/GUYANA/08221/2000,DENV3/INDONESIA/SLEMANDELTA30/1978,3.93073733756
DENV2/GUYANA/08221/2000,DENV4/BRAZIL/NA/2012,3.45943161864
DENV2/GUYANA/08221/2000,DENV4/CAMBODIA/NA/2010,3.45943161864
DENV2/GUYANA/08221/2000,DENV4/DOMINICA/814669DELTA30/1981,3.85085656069
DENV2/INDIA/742295/1974,DENV1/CAMBODIA/BIDV1991/2003,3.58496250072
DENV2/INDIA/742295/1974,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.80735492206
DENV2/INDIA/742295/1974,DENV1/PERU/IQT6152/2000,3.70043971814
DENV2/INDIA/742295/1974,DENV2/CAMBODIA/D2T0601085/2009,4.32192809489
DENV2/INDIA/742295/1974,DENV2/NICARAGUA/BIDV533/2005,3.32192809489
DENV2/INDIA/742295/1974,DENV2/NICARAGUA/BIDV571/2006,6.02236781303
DENV2/INDIA/742295/1974,DENV2/PERU/IQT2913/1996,4.08746284125
DENV2/INDIA/742295/1974,DENV2/TONGA/DELTA30/1974,4.87446911792
DENV2/INDIA/742295/1974,DENV2/VIETNAM/AC20/2003,4.16992500144
DENV2/INDIA/742295/1974,DENV2/VIETNAM/AC21/2003,3.32192809489
DENV2/INDIA/742295/1974,DENV2/VIETNAM/BIDV735/2006,8.04712391211
DENV2/INDIA/742295/1974,DENV3/INDONESIA/SLEMANDELTA30/1978,3.51096191928
DENV2/INDIA/742295/1974,DENV4/DOMINICA/814669DELTA30/1981,3.49185309633
DENV2/MALAYSIA/DKD811/2008,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,4.10852445678
DENV2/MALAYSIA/DKD811/2008,DENV2/CAMBODIA/D2T0601085/2009,3.45943161864
DENV2/MALAYSIA/DKD811/2008,DENV2/MALAYSIA/DKD811/2008,4.95419631039
DENV2/MALAYSIA/DKD811/2008,DENV2/NICARAGUA/BIDV571/2006,5.20945336563
DENV2/MALAYSIA/DKD811/2008,DENV2/PERU/IQT2913/1996,4.0
DENV2/MALAYSIA/DKD811/2008,DENV2/TONGA/DELTA30/1974,5.49767042292
DENV2/MALAYSIA/DKD811/2008,DENV2/VIETNAM/AC20/2003,4.52356195606
DENV2/MALAYSIA/DKD811/2008,DENV2/VIETNAM/BIDV735/2006,8.0
DENV2/MALAYSIA/DKD811/2008,DENV3/INDONESIA/SLEMANDELTA30/1978,3.60880924268
DENV2/MALAYSIA/DKD811/2008,DENV3/VIETNAM/BIDV1817/2007,3.45943161864
DENV2/MALAYSIA/DKD811/2008,DENV4/DOMINICA/814669DELTA30/1981,3.49185309633
DENV2/NICARAGUA/BIDV533/2005,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.36923380967
DENV2/NICARAGUA/BIDV533/2005,DENV1/PERU/IQT6152/2000,3.32192809489
DENV2/NICARAGUA/BIDV533/2005,DENV1/PUERTO_RICO/BIDV852/2006,3.90689059561
DENV2/NICARAGUA/BIDV533/2005,DENV2/MALAYSIA/DKD811/2008,4.45943161864
DENV2/NICARAGUA/BIDV533/2005,DENV2/NICARAGUA/BIDV533/2005,3.45943161864
DENV2/NICARAGUA/BIDV533/2005,DENV2/NICARAGUA/BIDV571/2006,6.40939093614
DENV2/NICARAGUA/BIDV533/2005,DENV2/PERU/IQT2913/1996,3.80735492206
DENV2/NICARAGUA/BIDV533/2005,DENV2/TONGA/DELTA30/1974,5.18322182406
DENV2/NICARAGUA/BIDV533/2005,DENV2/VIETNAM/AC20/2003,4.24792751344
DENV2/NICARAGUA/BIDV533/2005,DENV2/VIETNAM/AC21/2003,4.16992500144
DENV2/NICARAGUA/BIDV533/2005,DENV2/VIETNAM/BIDV735/2006,7.92777796208
DENV2/NICARAGUA/BIDV533/2005,DENV3/INDONESIA/SLEMANDELTA30/1978,3.58496250072
DENV2/NICARAGUA/BIDV533/2005,DENV3/VIETNAM/BIDV1329/2006,3.45943161864
DENV2/NICARAGUA/BIDV533/2005,DENV4/DOMINICA/814669DELTA30/1981,3.53605290024
DENV2/NICARAGUA/BIDV571/2006,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.58496250072
DENV2/NICARAGUA/BIDV571/2006,DENV1/PUERTO_RICO/BIDV852/2006,3.45943161864
DENV2/NICARAGUA/BIDV571/2006,DENV2/MALAYSIA/DKD811/2008,4.24792751344
DENV2/NICARAGUA/BIDV571/2006,DENV2/NICARAGUA/BIDV533/2005,3.80735492206
DENV2/NICARAGUA/BIDV571/2006,DENV2/NICARAGUA/BIDV571/2006,5.88264304936
DENV2/NICARAGUA/BIDV571/2006,DENV2/PERU/IQT2913/1996,4.08746284125
DENV2/NICARAGUA/BIDV571/2006,DENV2/TONGA/DELTA30/1974,5.86789646399
