,DENV1_I,DENV1_II,DENV1_IV,DENV1_V,DENV2_AMERICAN,DENV2_ASIANAMERICAN,DENV2_ASIANI,DENV2_ASIANII,DENV2_COSMOPOLITAN,DENV3_I,DENV3_II,DENV3_III,DENV3_V,DENV4_I,DENV4_II,DENV4_III
1983.166667/1978.166667,,,,,,,0.3686209804081585,,,0.5331543394771011,0.5331543773372747,,,0.5245662269820682,0.7529364797334838,
1983.416667/1978.416667,,,,6.323200925115561,,,0.3577919672341881,,,0.4537145846706628,0.45371461700930193,,,,1.2718339590532384,
1983.666667/1978.666667,,,,4.791435122618565,,,0.3484979074905152,,,0.43042478556071434,0.4304248157582264,,,,,
1983.916667/1978.916667,,,,5.133925092255776,,0.29453968584719,0.2945396740241778,,,0.8408933073361397,0.840893367889186,,,,,
1984.166667/1979.166667,,,,4.482182764417083,,0.271150249347859,0.27115023152318146,,,1.2634465532588703,,,,,,
1984.416667/1979.416667,2.9131998538626047,,,3.0383019417752934,,0.28362028892225666,0.28362026669941925,,,1.5437118681963018,,,,,,
1984.666667/1979.666667,2.0978603915526763,,,2.2062048091595163,,0.30771820103720454,0.3077181712900492,,,,,,,,,
1984.916667/1979.916667,1.6259447116874253,,,1.676043017230287,,0.34908934990417756,0.34908930474189687,,,,,,,,,
1985.166667/1980.166667,1.2266589528246585,,,1.3666459263032267,,0.42320740986850336,0.42320735631698236,,,,,,,,,
1985.416667/1980.416667,0.9274923587881733,,,1.1530092304805026,,,0.5524357709009923,,,,,,,,,
1985.666667/1980.666667,0.7227017804788922,,,1.0079433949529337,,,0.7623116410078328,,,,,,,,,
1985.916667/1980.916667,0.5844286697182323,,,0.9178737918916973,,,1.1335681704015084,,,,,,,,,
1986.166667/1981.166667,0.6035207556195794,,,1.0295326316554312,,,1.0258273405965745,,,,,,,,,
1986.416667/1981.416667,0.7289731570493837,,,1.3042758487639996,,0.7620099865338084,0.7620099273997463,,,,,,,,,
1986.666667/1981.666667,0.9427579447221006,,,1.7661084577877677,,0.5702779806231658,0.570277937694073,,,,,,,,,
1986.916667/1981.916667,1.3034849015603651,,,2.5339544641255776,,0.4380265940082989,0.43802656064770495,,,,,,,,,
1987.166667/1982.166667,1.5176536804699077,,,2.911820515572215,,0.39513366866216587,0.3951336396009153,,,,,,,,,
1987.416667/1982.416667,1.642537773922406,,,3.01056855900586,,0.387005725919249,0.38700569519924044,,,,,,,,,
1987.666667/1982.666667,1.875545288398357,,,3.267689998713825,,,0.38180046604415735,,,1.344618243976403,,,,,,
1987.916667/1982.916667,2.2979708279851994,,,3.7254346121815654,,,0.3834781522386941,0.3834781681014441,,1.074127512182704,,,,,,
1988.166667/1983.166667,2.812615191775572,,,4.5426085030372025,,,0.36263678482339223,0.362636799264339,,0.9253460158807043,0.9253460823086316,,,,,
1988.416667/1983.416667,3.422149305953364,,,,,,0.3395269091407595,,,0.8331655403442028,,,,,,
1988.666667/1983.666667,4.323266603843674,,,,,,0.31894952415107825,,,0.7595637858860028,,,,,,
1988.916667/1983.916667,5.8546613302468105,,,,,,0.3069547515168872,,,0.7128123384308389,,,,,,
1989.166667/1984.166667,4.856221969966395,,,,,,0.3210922023369567,,,0.6185088475193087,0.6185088921999472,,,,,
1989.416667/1984.416667,3.204876316896769,,,,,,0.3782986156699066,,,0.5242715154118741,0.524271555207772,,,,,
